ts,datetime,key,value
1662095510243,2022/09/02 01:11:50,precipitation2mm,0
1662095503702,2022/09/02 01:11:43,precipitation2mm,0
1662095490308,2022/09/02 01:11:30,precipitation2mm,0
1662095479576,2022/09/02 01:11:19,precipitation2mm,0
1662095471265,2022/09/02 01:11:11,precipitation2mm,0
1662095458440,2022/09/02 01:10:58,precipitation2mm,0
1662095451769,2022/09/02 01:10:51,precipitation2mm,0
1662095446336,2022/09/02 01:10:46,precipitation2mm,0
1662095439692,2022/09/02 01:10:39,precipitation2mm,0
1662095431091,2022/09/02 01:10:31,precipitation2mm,0
1662095425525,2022/09/02 01:10:25,precipitation2mm,0
1662095417030,2022/09/02 01:10:17,precipitation2mm,0
1662095411507,2022/09/02 01:10:11,precipitation2mm,0
1662095404333,2022/09/02 01:10:04,precipitation2mm,0
1662095397417,2022/09/02 01:09:57,precipitation2mm,0
1662095389799,2022/09/02 01:09:49,precipitation2mm,0
1662095383534,2022/09/02 01:09:43,precipitation2mm,0
1662095376675,2022/09/02 01:09:36,precipitation2mm,0
1662095357467,2022/09/02 01:09:17,precipitation2mm,0
1662095350831,2022/09/02 01:09:10,precipitation2mm,0
1662095345553,2022/09/02 01:09:05,precipitation2mm,0
1662095338741,2022/09/02 01:08:58,precipitation2mm,0
1662095331248,2022/09/02 01:08:51,precipitation2mm,0
1662095324954,2022/09/02 01:08:44,precipitation2mm,0
1662095316747,2022/09/02 01:08:36,precipitation2mm,0
1662095309185,2022/09/02 01:08:29,precipitation2mm,0
1662095302679,2022/09/02 01:08:22,precipitation2mm,0
1662095294114,2022/09/02 01:08:14,precipitation2mm,0
1662095288602,2022/09/02 01:08:08,precipitation2mm,0
1662095276418,2022/09/02 01:07:56,precipitation2mm,0
1662095263505,2022/09/02 01:07:43,precipitation2mm,0
1662095255664,2022/09/02 01:07:35,precipitation2mm,0
1662095238541,2022/09/02 01:07:18,precipitation2mm,0
1662095231780,2022/09/02 01:07:11,precipitation2mm,0
1662095225246,2022/09/02 01:07:05,precipitation2mm,0
1662095218617,2022/09/02 01:06:58,precipitation2mm,0
1662095211410,2022/09/02 01:06:51,precipitation2mm,0
1662095205330,2022/09/02 01:06:45,precipitation2mm,0
1662095197954,2022/09/02 01:06:37,precipitation2mm,0
1662095181305,2022/09/02 01:06:21,precipitation2mm,0
1662095167889,2022/09/02 01:06:07,precipitation2mm,0
1662095152792,2022/09/02 01:05:52,precipitation2mm,0
1662095147534,2022/09/02 01:05:47,precipitation2mm,0
1662095131333,2022/09/02 01:05:31,precipitation2mm,0
1662095991510,2022/09/02 01:19:51,pressure,1032.1
1662095986627,2022/09/02 01:19:46,pressure,1032.2
1662095979012,2022/09/02 01:19:39,pressure,1032.1
1662095974709,2022/09/02 01:19:34,pressure,1032.2
1662095960489,2022/09/02 01:19:20,pressure,1032.3
1662095953772,2022/09/02 01:19:13,pressure,1032.2
1662095948527,2022/09/02 01:19:08,pressure,1032.3
1662095934466,2022/09/02 01:18:54,pressure,1032.3
1662095919403,2022/09/02 01:18:39,pressure,1032.1
1662095913065,2022/09/02 01:18:33,pressure,1032.2
1662095901546,2022/09/02 01:18:21,pressure,1032.2
1662095895306,2022/09/02 01:18:15,pressure,1032.2
1662095887353,2022/09/02 01:18:07,pressure,1032.1
1662095875231,2022/09/02 01:17:55,pressure,1032.2
1662095861671,2022/09/02 01:17:41,pressure,1032.1
1662095854426,2022/09/02 01:17:34,pressure,1032.2
1662095849505,2022/09/02 01:17:29,pressure,1032.1
1662095842358,2022/09/02 01:17:22,pressure,1032.1
1662095837370,2022/09/02 01:17:17,pressure,1032.2
1662095823518,2022/09/02 01:17:03,pressure,1032.2
1662095808201,2022/09/02 01:16:48,pressure,1032.1
1662095802573,2022/09/02 01:16:42,pressure,1032.2
1662095795486,2022/09/02 01:16:35,pressure,1032.1
1662095782240,2022/09/02 01:16:22,pressure,1032.1
1662095768072,2022/09/02 01:16:08,pressure,1032.2
1662095762278,2022/09/02 01:16:02,pressure,1032.1
1662095755254,2022/09/02 01:15:55,pressure,1032.2
1662095749229,2022/09/02 01:15:49,pressure,1032.1
1662095744579,2022/09/02 01:15:44,pressure,1032.1
1662095737689,2022/09/02 01:15:37,pressure,1032.2
1662095732889,2022/09/02 01:15:32,pressure,1032.2
1662095727946,2022/09/02 01:15:27,pressure,1032.1
